vendor,model,size,ii,effort,supportsReasoning,tb,tau,agentic,whLow,wh,whHigh,cif,iiEst,conf,est
OpenAI,GPT-5 (high),Large,45.0,high,yes,33.0,85.0,yes,12.345,21.311,30.278,0.34,False,B,False
OpenAI,GPT-5 mini (medium),Medium,39.0,medium,yes,29.0,71.0,yes,2.339,3.65,4.961,0.34,False,B,False
OpenAI,GPT-5 nano (minimal),Small,14.0,none,yes,7.0,26.0,no,0.537,0.634,0.732,0.34,False,B,False
Anthropic,Claude Opus 5,Large,61.0,high,yes,,,yes,10.9,14.46,18.1,0.3,False,C,True
Anthropic,Claude 4.5 Sonnet,Large,43.0,medium,yes,36.0,78.0,yes,7.633,9.79,11.947,0.3,False,B,False
Anthropic,Claude 4.5 Haiku,Large,37.0,medium,yes,27.0,55.0,yes,2.099,11.199,20.3,0.3,False,B,False
Google,Gemini 2.5 Pro,Large,35.0,medium,yes,27.0,54.0,yes,2.25,3.155,4.06,0.231,False,B,False
Google,Gemini 2.5 Flash,Large,27.0,none,yes,14.0,32.0,no,1.135,2.314,3.494,0.231,False,B,False
